,timestamp,ROC_TK_1300A,ROC_TK_1300C,MOC_TK_1310A,MOC_TK_1310B,MOC_TK_1310C,MTT_TK_301A,MTT_TK_301B
0,2022-09-01 00:00:00+00:00,972.6039,114.018021,957.8343,264.9567,108.773659,262.7958,245.82547
1,2022-09-02 00:00:00+00:00,844.453247,114.650917,1643.74072,269.4713,109.735237,265.035583,249.334335
2,2022-09-03 00:00:00+00:00,668.514038,113.720978,1893.48926,270.7731,109.211,265.2205,249.839371
3,2022-09-04 00:00:00+00:00,601.3994,113.009857,1539.659,273.6535,109.04306,263.8699,248.723236
4,2022-09-05 00:00:00+00:00,637.1517,115.317169,1022.82361,279.773254,110.188667,262.431824,246.623734
5,2022-09-06 00:00:00+00:00,697.7394,117.197624,1185.51624,283.507477,110.688065,263.425323,247.485016
6,2022-09-07 00:00:00+00:00,662.3323,117.117622,1459.17053,285.119629,111.096252,263.343,247.975479
7,2022-09-08 00:00:00+00:00,669.9011,119.276871,1866.95239,288.402069,273.446625,263.501068,240.0976
8,2022-09-09 00:00:00+00:00,908.9136,119.693726,1871.1991,290.8602,275.792877,723.3638,241.5215
9,2022-09-10 00:00:00+00:00,858.55896,119.01152,2286.27466,556.6744,273.939362,1201.89819,246.1251
10,2022-09-11 00:00:00+00:00,775.9094,117.344604,2196.263,785.8931,273.95932,1496.36267,425.255829
11,2022-09-12 00:00:00+00:00,675.8932,115.781784,2011.39038,790.872437,274.3097,1495.823,1153.10461
12,2022-09-13 00:00:00+00:00,755.2017,116.958618,2108.55542,797.4257,274.887451,1492.5708,1871.59106
13,2022-09-14 00:00:00+00:00,511.000061,116.890808,2677.40918,800.7238,275.954529,1491.62817,2614.45313
14,2022-09-15 00:00:00+00:00,482.985474,117.303818,2499.5415,1442.04968,275.385681,1586.87634,3220.66
15,2022-09-16 00:00:00+00:00,467.620361,116.508156,2495.778,638.4985,274.69516,2295.47534,3218.32422
16,2022-09-17 00:00:00+00:00,468.1746,115.555016,2495.88159,432.855133,273.4146,3011.56616,3217.42334
17,2022-09-18 00:00:00+00:00,468.037,114.30172,2497.12646,584.4948,275.036163,3009.51343,3216.133
18,2022-09-19 00:00:00+00:00,468.5256,113.402351,2253.38257,329.660431,276.246979,3004.102,3213.35352
19,2022-09-20 00:00:00+00:00,469.2154,113.728333,1939.56592,334.84726,276.7467,3003.51367,3212.639
20,2022-09-21 00:00:00+00:00,469.214783,112.867462,2088.74414,339.7628,276.737762,3002.36475,3212.319
21,2022-09-22 00:00:00+00:00,470.676,112.965958,2440.05981,344.328247,278.172028,3002.08032,3212.18945
22,2022-09-23 00:00:00+00:00,470.537,113.849487,2595.724,347.67746,277.116821,2997.06445,3209.72681
23,2022-09-24 00:00:00+00:00,470.537,113.524544,2465.38135,572.829468,276.654083,2995.39917,3208.618
24,2022-09-25 00:00:00+00:00,470.462463,113.585457,2554.255,585.888733,276.60498,2993.47437,3207.83057
25,2022-09-26 00:00:00+00:00,470.676,115.884,2485.95654,594.7777,277.0236,2987.69116,3198.19775
26,2022-09-27 00:00:00+00:00,471.013458,117.22998,2358.804,602.450745,277.993378,2983.444,3184.66821
27,2022-09-28 00:00:00+00:00,472.07,117.087425,2352.39136,742.640869,279.315918,2983.89233,3184.78418
28,2022-09-29 00:00:00+00:00,472.4019,117.081169,2021.24011,1017.75037,278.194458,2983.44531,3184.47778
29,2022-09-30 00:00:00+00:00,472.906,117.0771,2017.07764,1035.46338,278.2729,2983.47852,3184.58643
30,2022-10-01 00:00:00+00:00,473.330933,116.028641,2016.56091,1116.4502,277.8587,2985.769,3185.89063
31,2022-10-02 00:00:00+00:00,473.10083,114.919693,2043.36658,511.380951,277.362427,2989.18872,3195.38379
32,2022-10-03 00:00:00+00:00,472.209,115.588516,1549.13843,390.7382,277.521423,2984.926,3184.92139
33,2022-10-04 00:00:00+00:00,472.675873,116.454437,856.729065,399.074371,278.7425,2982.86938,3183.6106
34,2022-10-05 00:00:00+00:00,473.5125,117.066711,415.958221,380.44574,278.628662,2983.148,3184.15845
35,2022-10-06 00:00:00+00:00,473.239838,116.267616,783.7227,311.703156,277.9638,2983.86938,3184.61475
36,2022-10-07 00:00:00+00:00,472.592651,115.584717,1048.67444,312.934357,278.218048,2982.78955,3183.91821
37,2022-10-08 00:00:00+00:00,473.0163,116.02533,1281.45264,315.7957,278.267853,2982.97974,3184.40356
38,2022-10-09 00:00:00+00:00,473.093872,115.701279,1273.72021,316.849518,278.015564,2983.86719,3185.19531
39,2022-10-10 00:00:00+00:00,472.494934,114.761581,1048.00146,317.646332,277.964172,2985.621,3185.74829
40,2022-10-11 00:00:00+00:00,472.543457,116.971359,1017.37732,322.424835,277.840485,2980.94727,3182.97168
41,2022-10-12 00:00:00+00:00,472.9522,118.966522,908.1808,327.103333,278.215363,2974.90869,3179.34521
42,2022-10-13 00:00:00+00:00,474.115173,118.372635,572.4716,329.4287,278.608032,2922.42529,3180.80737
43,2022-10-14 00:00:00+00:00,473.938843,116.596306,1032.15076,329.816681,278.950073,2567.5957,3182.95654
44,2022-10-15 00:00:00+00:00,473.297119,115.341721,1445.37781,329.352,278.2137,2206.57227,3184.274
45,2022-10-16 00:00:00+00:00,472.682953,116.451225,1683.96375,330.537323,277.654419,1903.48718,3182.24658
46,2022-10-17 00:00:00+00:00,472.864136,119.32074,1725.7074,336.216644,277.914734,1658.249,3178.11768
47,2022-10-18 00:00:00+00:00,474.383728,120.199257,1715.09131,340.321777,279.4445,1422.61658,3178.943
48,2022-10-19 00:00:00+00:00,474.703918,118.809937,1668.01563,340.171082,279.005768,1186.77747,3181.1167
49,2022-10-20 00:00:00+00:00,473.631775,117.365723,1601.11328,339.5039,278.2195,949.658447,3181.88745
50,2022-10-21 00:00:00+00:00,473.226868,117.031776,1528.838,339.861359,278.0726,713.3082,3181.40161
51,2022-10-22 00:00:00+00:00,472.985382,116.34301,1309.83777,341.145355,278.148224,713.9946,3181.72974
52,2022-10-23 00:00:00+00:00,473.435974,116.062096,1100.99756,343.717957,278.5929,718.0251,3183.08374
53,2022-10-24 00:00:00+00:00,473.435974,115.328,1130.53833,345.332672,278.696228,720.782166,3184.63965
54,2022-10-25 00:00:00+00:00,473.055481,114.379387,1145.487,347.512115,279.116516,721.488342,3185.59741
55,2022-10-26 00:00:00+00:00,473.082977,113.247711,1428.09155,348.206055,278.700165,722.9482,3190.112
56,2022-10-27 00:00:00+00:00,472.1044,112.048706,1665.43237,348.440826,278.0719,722.2188,3203.44727
57,2022-10-28 00:00:00+00:00,472.104645,112.39444,1512.91272,349.6174,277.5633,722.997742,3201.8
58,2022-10-29 00:00:00+00:00,471.721527,112.208893,1697.16577,350.393433,277.9807,721.7136,3199.74316
59,2022-10-30 00:00:00+00:00,472.069763,113.909683,1810.616,353.626038,278.466034,722.8708,3186.28125
60,2022-10-31 00:00:00+00:00,472.592133,114.414444,1972.09961,355.7248,277.700958,723.9061,3186.04932
61,2022-11-01 00:00:00+00:00,472.4173,113.943123,2155.19287,356.647247,277.832458,725.51,3186.46
62,2022-11-02 00:00:00+00:00,571.8628,19.7300549,2223.73853,358.425781,277.763733,725.1902,3186.00757
63,2022-11-03 00:00:00+00:00,591.213562,6.641,2254.86279,361.330383,278.204,725.075745,3184.99731
64,2022-11-04 00:00:00+00:00,591.6795,6.641,2528.8938,364.3982,278.842773,725.4197,3183.95459
65,2022-11-05 00:00:00+00:00,591.8287,6.641,2599.07861,367.535767,278.261475,726.35376,3183.32935
66,2022-11-06 00:00:00+00:00,591.433,6.641,2596.21118,368.576721,277.940765,725.3298,3182.44922
67,2022-11-07 00:00:00+00:00,591.179138,814.4112,2393.18335,370.738037,277.991577,725.4584,3182.02466
68,2022-11-08 00:00:00+00:00,590.73114,2188.28979,1810.69568,373.329071,278.999573,727.3647,3182.7356
69,2022-11-09 00:00:00+00:00,586.912659,2149.415,1703.07361,375.190857,279.119446,728.4136,3183.825
70,2022-11-10 00:00:00+00:00,588.030151,610.0035,2038.23755,375.6671,278.7843,727.4229,3183.61743
71,2022-11-11 00:00:00+00:00,588.742,9.552,2514.427,377.490082,278.641846,729.693848,3184.701
72,2022-11-12 00:00:00+00:00,588.6224,9.552,2380.58057,558.002258,278.69873,733.072266,3186.57324
73,2022-11-13 00:00:00+00:00,588.115234,9.552,1641.89807,564.5543,278.118744,734.777039,3203.836
74,2022-11-14 00:00:00+00:00,587.7595,9.552,1330.62939,569.8294,277.777039,731.409851,3198.20557
75,2022-11-15 00:00:00+00:00,587.58136,9.552,1289.2821,574.1054,278.4487,729.9459,3185.8208
76,2022-11-16 00:00:00+00:00,587.701,89.2203445,1396.361,577.411255,277.835876,730.9028,3185.05762
77,2022-11-17 00:00:00+00:00,587.3429,350.35,1309.41089,579.109436,277.835876,732.519836,3185.21826
78,2022-11-18 00:00:00+00:00,586.3498,952.089,1118.24463,581.5381,278.350952,733.747131,3185.3606
79,2022-11-19 00:00:00+00:00,585.12384,1656.06,859.6015,582.9033,278.690063,734.478333,3185.74561
